analizador_funcion,Nicolas,Analizara la funcion para enviarla a las listas correspondientes,# Si sale de este while esta por empezar otra funcion o leyo el fin de archivo.,# Las comas molestan en la lectura del archivo. Las eliminamos y ponemos un espacio en su lugar.,# Esta funcion es clave me simplifica la lectura de las lineas., Preguntare si abrio una triple comillas y nunca lo cerro. Eso nos estaria diciendo que el comentario no finalizo. , Guarda aca el codigo esta preparado para detectar un corchete para separar de la triple comilla y en caso de que no haya corchete dejar un espacio antes de la triple comilla. 
archivos,Nicolas,Guardara el codigo como lo pide el enunciado,# Esta funcion guardará cada archivo ordenado en una lista,# aaj,# Este indice lo creo para distinguir los archivos,# Abro ruta dentro de programas.txt
eliminar_archivos,Nicolas,Elimina archivos del directorio
encontrar_palabras,Nicolas,Encuentra las palabras autor o ayuda o le pone N/N para que se note que falta autor
guardar_archivo,Alejandro,Lee archivo_aux.csv extrae la informacion y realiza la mezcla respectiva para luego eliminar archivo_aux.csv
indice_vaciado,Nicolas,Esta funcion recibira una lista con datos que podra ir borrando y cuando este vacia devolvera el indice donde se vacio por completo.
linea_ayuda_autor,Nicolas,Se le pasa una lista con las palabras encontradas y se fija si realmente alguna esta
mezcla,Alejandro,Mezcla Archivos CSV's
proceso_archivos,Nicolas,Va a validar las lineas del archivo para saber a cual de las dos salidas (comentarios y fuente unico) va a ir,# Aca iran a parar las funciones para fuente codigo,# Y aca las funciones para comentarios,# Analizaremos la funcion y la dividiremos en dos listas para saber a que archivo pertenecen.
reunir_parametros,Nicolas,Reune los parametros necesarios
seccion_comentarios,Nicolas,Este es el sector que corresponderia al analisis de la linea del archivo que corresponde a comentarios,# Esto es condición para que cuando encuentre la almohadilla salga del while
separador_archivos,Alejandro,Esta función recibe una lista con comentarios y fuente divide en dos listas acorde al nombre respectivo
